cardPoolType,resourceId,qualityLevel,resourceType,name,count,time
Resonators Accurate Modulation,21040023,3,Weapon,Originite: Type IV,1,12/02/2026 8:56
Resonators Accurate Modulation,1508,5,Resonator,Chisa,1,11/02/2026 20:07
Resonators Accurate Modulation,21050023,3,Weapon,Originite: Type V,1,11/02/2026 20:07
Resonators Accurate Modulation,21020023,3,Weapon,Originite: Type II,1,11/02/2026 20:07
Resonators Accurate Modulation,1403,4,Resonator,Aalto,1,11/02/2026 20:06
Resonators Accurate Modulation,21030043,3,Weapon,Pistols of Voyager,1,10/02/2026 10:09
Resonators Accurate Modulation,21010023,3,Weapon,Originite: Type I,1,10/02/2026 10:00
Resonators Accurate Modulation,21040013,3,Weapon,Gauntlets of Night,1,09/02/2026 23:56
Resonators Accurate Modulation,21020023,3,Weapon,Originite: Type II,1,09/02/2026 23:56
Resonators Accurate Modulation,21020043,3,Weapon,Sword of Voyager,1,09/02/2026 23:56
Resonators Accurate Modulation,1103,4,Resonator,Baizhi,1,09/02/2026 23:55
Resonators Accurate Modulation,21030043,3,Weapon,Pistols of Voyager,1,09/02/2026 23:55
Resonators Accurate Modulation,21040043,3,Weapon,Gauntlets of Voyager,1,09/02/2026 23:55
Resonators Accurate Modulation,21050013,3,Weapon,Rectifier of Night,1,09/02/2026 23:55
Resonators Accurate Modulation,21010023,3,Weapon,Originite: Type I,1,09/02/2026 23:12
Resonators Accurate Modulation,21040013,3,Weapon,Gauntlets of Night,1,08/02/2026 10:57
Resonators Accurate Modulation,21050013,3,Weapon,Rectifier of Night,1,08/02/2026 10:57
Resonators Accurate Modulation,21040043,3,Weapon,Gauntlets of Voyager,1,08/02/2026 10:55
Resonators Accurate Modulation,21040023,3,Weapon,Originite: Type IV,1,08/02/2026 10:55
Resonators Accurate Modulation,21030013,3,Weapon,Pistols of Night,1,08/02/2026 10:54
Resonators Accurate Modulation,1210,5,Resonator,Aemeath,1,07/02/2026 9:10
Resonators Accurate Modulation,21040043,3,Weapon,Gauntlets of Voyager,1,07/02/2026 9:10
Resonators Accurate Modulation,21010013,3,Weapon,Broadblade of Night,1,07/02/2026 9:10
Resonators Accurate Modulation,21050023,3,Weapon,Originite: Type V,1,07/02/2026 9:10
Resonators Accurate Modulation,21030023,3,Weapon,Originite: Type III,1,07/02/2026 9:10
